Year ending September,Area name,Total recorded crime (excluding fraud),Violence against the person,Homicide,Death or serious injury - unlawful driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes,Population mid-year estim
2024,ENGLAND AND WALES,5364061,1972843,550,1905,539091,817672,613625,199445,82347,1806484,260728,177687,83041,375048,146109,63483,492914,468202,479568,184103,57596,464831,116844,
2024,ENGLAND,5021167,1848864,520,1836,506554,768939,571015,187398,79331,1702711,251143,171936,79207,361493,131637,56884,462934,438620,444257,173340,54575,420692,109999,
2024,North East,276039,100772,29,82,29065,37904,33692,10202,2321,85682,14616,10362,4254,15324,1543,2316,32105,19778,34704,7853,2822,23980,7703,
2024,Cleveland,74419,27383,11,31,7058,10563,9720,2560,830,22363,4214,3133,1081,4226,282,549,8164,4928,9240,2759,737,6474,2073,
2024,Durham,60910,22987,4,20,5381,9567,8015,2251,242,17870,3265,2246,1019,3142,126,347,7078,3912,8985,1356,486,4812,1921,
2024,Northumbria,140710,50402,14,31,16626,17774,15957,5391,1249,45449,7137,4983,2154,7956,1135,1420,16863,10938,16479,3738,1599,12694,3709,
2024,North West,715061,291089,59,268,72902,119534,98326,27516,7554,187427,31895,22662,9233,35736,7854,5612,50592,55738,64849,35719,8706,73413,18788,
2024,Cheshire,79508,35803,4,27,9131,12720,13921,4033,422,18367,2779,2016,763,2354,336,783,6466,5649,6175,3286,726,8605,2091,
2024,Cumbria,36116,15907,4,77,4596,6454,4776,1724,168,7608,1210,745,465,953,123,203,2451,2668,3972,1914,526,3253,1044,
2024,Greater Manchester,329257,127489,25,111,28312,54211,44830,11958,4585,91189,15950,12010,3940,18667,5507,2522,21352,27191,28054,15027,4648,37336,8971,
2024,Lancashire,132337,55406,10,17,17232,20611,17536,5432,1372,39334,7463,4943,2520,8096,743,1091,10959,10982,13951,3580,1741,8120,3401,
2024,Merseyside,137843,56484,16,36,13631,25538,17263,4369,1007,30929,4493,2948,1545,5666,1145,1013,9364,9248,12697,11912,1065,16099,3281,
2024,Yorkshire and The Humber,573488,227315,47,211,57308,84571,85178,20525,6305,173150,33578,24136,9442,35645,4729,5300,52536,41362,53375,17385,5636,54123,15674,
2024,Humberside,96647,40609,3,4,11101,13135,16366,3343,942,26986,5535,4306,1229,3530,553,1507,9276,6585,9645,1693,830,9996,2603,
2024,North Yorkshire,46484,18547,3,34,5597,8276,4637,2001,196,14885,2454,1472,982,1976,209,1090,5484,3672,4878,1439,460,3094,984,
2024,South Yorkshire,151836,53285,13,20,15439,19298,18515,4994,1934,49865,10196,7755,2441,12093,1111,819,15142,10504,15401,5128,2122,13905,5202,
2024,West Yorkshire,278521,114874,28,153,25171,43862,45660,10187,3233,81414,15393,10603,4790,18046,2856,1884,22634,20601,23451,9125,2224,27128,6885,
2024,East Midlands,394770,151853,54,54,46998,56711,48036,16745,3770,119691,18406,12871,5535,21750,2788,4203,41357,31187,38328,13537,4886,35990,9970,
2024,Derbyshire,85967,36164,11,12,9323,13924,12894,3421,575,22220,3518,2452,1066,3860,560,519,7120,6643,7799,2722,995,10211,1860,
2024,Leicestershire,96411,35574,9,18,11663,11917,11967,3780,893,30139,5353,3894,1459,6811,874,1323,7614,8164,9672,2864,846,10379,2264,
2024,Lincolnshire,55127,23139,14,5,6828,9239,7053,2667,410,15603,2538,1730,808,2062,206,665,6257,3875,5555,1358,514,4257,1624,
2024,Northamptonshire,59774,24086,7,2,7191,9540,7346,3005,784,17864,2908,1943,965,4214,222,562,5495,4463,5126,2810,928,3735,1436,
2024,Nottinghamshire,97491,32890,13,17,11993,12091,8776,3872,1108,33865,4089,2852,1237,4803,926,1134,14871,8042,10176,3783,1603,7408,2786,
2024,West Midlands Region,530330,211752,55,281,59309,85379,66728,20444,9703,171955,29678,20858,8820,46568,3861,4036,48564,39248,44830,12982,9086,38891,10687,
2024,Staffordshire,86929,36983,13,25,10487,11536,14922,3780,776,24534,4539,3236,1303,5303,297,788,7105,6502,7795,2157,1106,8016,1782,
2024,Warwickshire,40212,14825,4,31,4829,5770,4191,1787,416,13821,2322,1532,790,4105,206,451,3503,3234,3224,1109,610,3325,1095,
2024,West Mercia,82184,32888,6,117,9887,12390,10488,3616,582,25537,4400,2866,1534,3967,337,685,9414,6734,7575,2239,1076,6786,1885,
2024,West Midlands,321005,127056,32,108,34106,55683,37127,11261,7929,108063,18417,13224,5193,33193,3021,2112,28542,22778,26236,7477,6294,20764,5925,
2024,East,452583,174603,52,332,47439,80242,46538,18666,4336,146438,20873,13823,7050,33133,4316,5970,44048,38098,42450,14419,5301,35422,10948,
2024,Bedfordshire,51762,18726,8,59,5091,8452,5116,1995,595,18289,2685,1601,1084,5033,538,571,5275,4187,4332,1630,556,4505,1134,
2024,Cambridgeshire,68544,24876,7,93,5599,12649,6528,2665,639,23349,3395,2074,1321,4184,905,2001,7189,5675,6625,1876,901,5699,1914,
2024,Essex,149862,58976,11,75,14626,26964,17300,5578,1419,48142,6938,4975,1963,13494,1136,1332,13266,11976,13160,5524,1725,12063,3275,
2024,Hertfordshire,77608,28026,10,49,8152,12114,7701,2725,1125,30106,3867,2777,1090,6817,1001,879,9156,8386,6862,2066,653,4441,1604,
2024,Norfolk,59236,25070,8,37,7921,11214,5890,3154,356,14599,2021,1273,748,1626,384,744,5499,4325,6509,1968,858,4893,1829,
2024,Suffolk,45571,18929,8,19,6050,8849,4003,2549,202,11953,1967,1123,844,1979,352,443,3663,3549,4962,1355,608,3821,1192,
2024,London,952364,244037,110,131,71945,114647,57204,25209,35543,477020,54899,35925,18974,105211,97357,16306,80041,123206,58730,36677,5247,59341,10560,
2024,City of London,7834,1363,0,0,383,851,129,187,168,4225,330,25,305,111,1375,240,1529,640,412,564,80,664,171,
2024,Metropolitan Police,944530,242674,110,131,71562,113796,57075,25022,35375,472795,54569,35900,18669,105100,95982,16066,78512,122566,58318,36113,5167,58677,10389,
2024,South East,704460,273035,66,321,73881,117961,80806,28397,5722,220387,29301,19895,9406,45355,6510,8650,73704,56867,66310,24348,8832,60664,16765,
2024,Hampshire,158210,64385,14,107,18545,24702,21017,6980,1143,45648,6835,4532,2303,9495,1069,1693,15092,11464,13461,6063,2232,15515,2783,
2024,Kent,163168,69119,19,108,16463,32018,20511,6364,1080,46514,6217,4527,1690,9870,999,1096,15595,12737,18173,5364,1743,9342,5469,
2024,Surrey,74395,27802,11,37,6959,12610,8185,2785,522,23279,3680,2794,886,5670,486,669,6596,6178,6820,2462,702,8142,1881,
2024,Sussex,135164,48537,10,49,15256,21423,11799,5789,1318,43692,5277,3145,2132,6756,1274,1521,18256,10608,13207,4204,2588,12602,3227,
2024,Thames Valley,173523,63192,12,20,16658,27208,19294,6479,1659,61254,7292,4897,2395,13564,2682,3671,18165,15880,14649,6255,1567,15063,3405,
2024,South West,422072,174408,48,156,47707,71990,54507,19694,4077,120961,17897,11404,6493,22771,2679,4491,39987,33136,40681,10420,4059,38868,8904,
2024,Avon and Somerset,163882,65907,23,8,15259,27776,22841,7233,2461,49907,7009,4511,2498,10101,847,2188,17409,12353,13414,2613,1131,18389,2827,
2024,Devon and Cornwall,118665,52112,9,102,16021,21805,14175,6215,644,28375,3863,2371,1492,3642,938,551,9750,9631,13720,4494,1669,8337,3099,
2024,Dorset,51354,19905,3,2,6212,7698,5990,2213,361,17512,2918,1822,1096,4265,361,689,4812,4467,5276,1223,460,3786,618,
