Vehicle,Region,Integrated Transport Authority (ITA),Local Authority,PFA,Units,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cars and Taxis,Great Britain,Great Britain All,Great Britain All,,Million vehicle kilometres,402836.40,410100.40,415127.90,417017.10,423075.80,317563.10,356243.50,392670.10,404427.80
Cars and Taxis,England,England All,England All,ENGLAND,Million vehicle kilometres,345533.60,351064.70,355569.80,356962.80,362359.10,272881.40,305251.60,336056.60,346100.20
Cars and Taxis,Wales,Wales All,Wales All,WALES,Million vehicle kilometres,22706.80,23547.60,23482.20,23755.70,24039.20,17649.40,19928.50,22238.40,22955.40
Cars and Taxis,England and Wales,England and Wales All,England and Wales All,ENGLAND AND WALES,Million vehicle kilometres,368240.40,374612.30,379052.00,380718.50,386398.30,290530.80,325180.10,358295.00,369055.60
Cars and Taxis,North East,North East All,North East All,North East,Million vehicle kilometres,14923.50,15026.50,15221.80,15525.20,16255.60,12354.20,13842.50,15379.50,15986.10
Cars and Taxis,North East,Rest of North East,County Durham,Durham,Million vehicle kilometres,3158.30,3124.00,3210.70,3279.50,3413.10,2538.80,2921.60,3235.30,3366.10
Cars and Taxis,North East,Rest of North East,Darlington,Durham,Million vehicle kilometres,635.90,626.30,623.10,643.30,665.70,510.90,572.20,639.50,658.00
Cars and Taxis,North East,Rest of North East,Hartlepool,Cleveland,Million vehicle kilometres,479.10,485.60,490.50,509.10,523.60,398.60,451.60,499.50,520.50
Cars and Taxis,North East,Rest of North East,Middlesbrough,Cleveland,Million vehicle kilometres,927.50,922.40,940.70,968.60,1006.70,760.60,860.30,1022.40,1054.40
Cars and Taxis,North East,Rest of North East,Northumberland,Northumbria,Million vehicle kilometres,2236.40,2310.50,2379.10,2405.10,2527.90,1934.50,2189.50,2406.50,2502.30
Cars and Taxis,North East,Rest of North East,Redcar and Cleveland,Cleveland,Million vehicle kilometres,705.80,712.60,718.70,754.20,783.80,639.30,707.00,736.90,769.00
Cars and Taxis,North East,Rest of North East,Stockton-on-Tees,Cleveland,Million vehicle kilometres,1113.80,1129.50,1126.70,1125.80,1229.40,902.10,1022.40,1093.60,1159.00
Cars and Taxis,North East,Tyne and Wear ITA,Tyne and Wear ITA All,Northumbria,Million vehicle kilometres,5666.70,5715.60,5732.40,5839.50,6105.50,4669.30,5117.90,5745.80,5956.80
Cars and Taxis,North East,Tyne and Wear ITA,Gateshead,,Million vehicle kilometres,1280.40,1283.30,1332.50,1353.70,1479.30,1117.20,1225.60,1340.00,1374.30
Cars and Taxis,North East,Tyne and Wear ITA,Newcastle upon Tyne,,Million vehicle kilometres,1385.90,1396.90,1409.50,1432.00,1470.80,1113.10,1212.00,1347.90,1426.50
