Name,PFA,Geography,Mid-2023,Mid-2022,Mid-2021,Mid-2020,Mid-2019,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011,
ENGLAND AND WALES,ENGLAND AND WALES,Country,60854727.00,60245218.00,59660524.00,59430444.00,59317788.00,59008368.00,58700914.00,58366199.00,57881415.00,57444107.00,56989744.00,56577740.00,56170927.00,
ENGLAND,ENGLAND,Country,57690323.00,57112542.00,56554891.00,56325961.00,56230056.00,55924528.00,55619548.00,55289034.00,54808676.00,54370319.00,53918686.00,53506812.00,53107169.00,
NORTH EAST,North East,Region,2711380.00,2682069.00,2647493.00,2637426.00,2636676.00,2629393.00,2623787.00,2618253.00,2611804.00,2610482.00,2603299.00,2598972.00,2596441.00,
County Durham,Durham,Unitary Authority,532182.00,527704.00,521447.00,519204.00,518562.00,516648.00,515911.00,514431.00,513924.00,513604.00,513179.00,513122.00,512994.00,
Darlington,Durham,Unitary Authority,110562.00,109413.00,108210.00,106827.00,106532.00,106411.00,106541.00,106258.00,105988.00,105825.00,105591.00,105557.00,105584.00,
Hartlepool,Cleveland,Unitary Authority,95366.00,93847.00,92575.00,92202.00,92401.00,92288.00,92306.00,92260.00,92125.00,92358.00,92465.00,92344.00,92088.00,
Middlesbrough,Cleveland,Unitary Authority,152650.00,148583.00,143943.00,142459.00,142134.00,141057.00,141213.00,140649.00,139602.00,139030.00,138588.00,138472.00,138368.00,
Northumberland,Northumbria,Unitary Authority,327055.00,324286.00,321532.00,318490.00,318027.00,316153.00,315663.00,314327.00,314188.00,315274.00,315013.00,315924.00,316278.00,
Redcar and Cleveland,Cleveland,Unitary Authority,137938.00,137168.00,136605.00,136571.00,136699.00,136276.00,135584.00,135344.00,135370.00,135106.00,134838.00,134951.00,135164.00,
Stockton-on-Tees,Cleveland,Unitary Authority,202415.00,200112.00,197032.00,196388.00,196860.00,197509.00,197046.00,196412.00,195790.00,195113.00,193923.00,192837.00,191824.00,
Tyne and Wear (Met County),Northumbria,Metropolitan County,1153212.00,1140956.00,1126149.00,1125285.00,1125461.00,1123051.00,1119523.00,1118572.00,1114817.00,1114172.00,1109702.00,1105765.00,1104141.00,
Gateshead,,Metropolitan District,199139.00,197922.00,196179.00,197342.00,198435.00,199915.00,200660.00,201359.00,201271.00,200728.00,200299.00,200252.00,200349.00,
Newcastle upon Tyne,,Metropolitan District,311976.00,306402.00,298545.00,298426.00,297087.00,294955.00,291759.00,290316.00,287955.00,286876.00,284371.00,280869.00,279092.00,
North Tyneside,,Metropolitan District,211769.00,210512.00,209128.00,208015.00,207294.00,205766.00,204492.00,203743.00,202953.00,203211.00,202268.00,201566.00,201206.00,
South Tyneside,,Metropolitan District,149270.00,148608.00,147919.00,147919.00,148368.00,148076.00,147796.00,147664.00,147230.00,147606.00,147517.00,147761.00,148164.00,
Sunderland,,Metropolitan District,281058.00,277512.00,274378.00,273583.00,274277.00,274339.00,274816.00,275490.00,275408.00,275751.00,275247.00,275317.00,275330.00,
NORTH WEST,North West,Region,7600126.00,7515718.00,7424092.00,7380605.00,7363267.00,7316116.00,7275765.00,7234141.00,7182651.00,7141096.00,7105146.00,7079344.00,7055961.00,
Blackburn with Darwen,Lancashire,Unitary Authority,157503.00,155823.00,154954.00,154564.00,154066.00,152787.00,152312.00,151497.00,150490.00,149579.00,149148.00,148532.00,147657.00,
Blackpool,Lancashire,Unitary Authority,142708.00,141648.00,140976.00,141560.00,142407.00,141880.00,142121.00,141996.00,141788.00,142253.00,142733.00,142565.00,142080.00,
Cheshire East,Cheshire,Unitary Authority,412458.00,406587.00,400474.00,393203.00,390556.00,386891.00,384221.00,381414.00,378511.00,376574.00,373956.00,372501.00,370736.00,
Cheshire West and Chester,Cheshire,Unitary Authority,365061.00,361799.00,357730.00,354738.00,353362.00,350076.00,346040.00,342424.00,339181.00,336437.00,333476.00,331231.00,329526.00,
Cumberland,Cumbria,Unitary Authority,276876.00,275331.00,273788.00,272444.00,273009.00,273256.00,273458.00,274192.00,274195.00,274139.00,274032.00,274285.00,274546.00,
Halton,Cheshire,Unitary Authority,129587.00,129008.00,128570.00,128508.00,128456.00,127873.00,127038.00,126851.00,126464.00,126335.00,125889.00,125596.00,125722.00,
Warrington,Chesire,Unitary Authority,212389.00,211797.00,211182.00,211627.00,212245.00,212008.00,212137.00,210873.00,209575.00,208056.00,205905.00,203914.00,202709.00,
Westmorland and Furness,Cumbria,Unitary Authority,228187.00,227648.00,226941.00,225995.00,226162.00,225685.00,225235.00,224754.00,224523.00,224164.00,224048.00,224550.00,225271.00,
Greater Manchester (Met County),Greater Manchester,Metropolitan County,2948633.00,2910993.00,2869531.00,2856110.00,2847959.00,2823878.00,2804283.00,2784566.00,2756962.00,2733895.00,2714958.00,2700093.00,2685386.00,
Bolton,,Metropolitan District,302383.00,299153.00,296169.00,295712.00,294888.00,291594.00,289684.00,287253.00,284972.00,283212.00,281629.00,279738.00,277296.00,
Bury,,Metropolitan District,195476.00,194590.00,193866.00,193604.00,193763.00,192900.00,191896.00,190470.00,189254.00,188406.00,187093.00,186632.00,185422.00,
Manchester,,Metropolitan District,579917.00,566778.00,550630.00,547340.00,545947.00,540675.00,536961.00,533446.00,523321.00,515360.00,510783.00,506869.00,502902.00,
Oldham,,Metropolitan District,246130.00,243993.00,242003.00,242181.00,242077.00,239923.00,237161.00,235021.00,232693.00,230348.00,227866.00,226057.00,225157.00,
Rochdale,,Metropolitan District,229756.00,226950.00,224127.00,223024.00,222042.00,219969.00,218492.00,216251.00,214560.00,213462.00,212503.00,212345.00,211929.00,
Salford,,Metropolitan District,284106.00,278867.00,270866.00,266090.00,263611.00,259224.00,255090.00,251562.00,246942.00,242602.00,239718.00,237421.00,234487.00,
Stockport,,Metropolitan District,299545.00,297191.00,295268.00,293851.00,293172.00,291631.00,290905.00,289879.00,288210.00,286267.00,284816.00,283953.00,283253.00,
Tameside,,Metropolitan District,234666.00,232806.00,231220.00,230521.00,229952.00,228435.00,226692.00,225480.00,223642.00,222364.00,221446.00,220457.00,219727.00,
Trafford,,Metropolitan District,237480.00,236651.00,235586.00,235937.00,236121.00,235623.00,234917.00,233710.00,232504.00,231799.00,230367.00,228512.00,227091.00,
Wigan,,Metropolitan District,339174.00,334014.00,329796.00,327850.00,326386.00,323904.00,322485.00,321494.00,320864.00,320075.00,318737.00,318109.00,318122.00,
Lancashire,Lancashire,County,1270162.00,1253922.00,1236228.00,1224128.00,1217384.00,1208672.00,1202420.00,1195310.00,1189153.00,1183512.00,1178586.00,1174321.00,1171558.00,
Burnley,,Non-metropolitan District,96435.00,95655.00,94734.00,93927.00,92949.00,91994.00,90902.00,89891.00,89230.00,88786.00,87795.00,87563.00,87032.00,
Chorley,,Non-metropolitan District,119352.00,118623.00,117908.00,117178.00,116762.00,115739.00,114810.00,113593.00,112418.00,111174.00,110160.00,108916.00,107591.00,
Fylde,,Non-metropolitan District,83846.00,82990.00,81750.00,80176.00,79852.00,79191.00,78423.00,77886.00,77135.00,76907.00,76253.00,75901.00,76098.00,
Hyndburn,,Non-metropolitan District,84261.00,83215.00,82271.00,82144.00,81954.00,81778.00,81392.00,81242.00,80781.00,80707.00,80316.00,80362.00,80549.00,
Lancaster,,Non-metropolitan District,145559.00,144561.00,142351.00,140881.00,139795.00,138995.00,138678.00,138572.00,138102.00,138469.00,138695.00,138452.00,137823.00,
Pendle,,Non-metropolitan District,97039.00,96197.00,95819.00,95099.00,94896.00,93872.00,93066.00,92502.00,91531.00,90803.00,90720.00,89873.00,89576.00,
Preston,,Non-metropolitan District,156411.00,151869.00,147786.00,145912.00,144624.00,142417.00,141734.00,140468.00,140615.00,140158.00,140302.00,140216.00,140054.00,
Ribble Valley,,Non-metropolitan District,64469.00,63140.00,61865.00,60780.00,59903.00,59452.00,59066.00,58611.00,58275.00,57911.00,57692.00,57509.00,57292.00,
Rossendale,,Non-metropolitan District,71541.00,71187.00,71008.00,70811.00,70884.00,70515.00,70084.00,69475.00,69196.00,68931.00,68505.00,68144.00,68053.00,
South Ribble,,Non-metropolitan District,113552.00,112201.00,111203.00,110613.00,110477.00,110334.00,110348.00,110253.00,109873.00,109357.00,108916.00,108879.00,109181.00,
West Lancashire,,Non-metropolitan District,120703.00,119360.00,117099.00,116198.00,115744.00,115366.00,115210.00,114243.00,113536.00,112544.00,111735.00,111040.00,110617.00,
Wyre,,Non-metropolitan District,116994.00,114924.00,112434.00,110409.00,109544.00,109019.00,108707.00,108574.00,108461.00,107765.00,107497.00,107466.00,107692.00,
